time (unix)	dt (s)	p (Pa)
1616494249.848	1.606	2305.69
1616494254.861	1.615	2304.76
1616494259.851	1.615	2303.74
1616494264.858	1.614	2303.10
1616494269.848	1.614	2301.82
1616494274.854	1.614	2300.57
1616494279.860	1.614	2299.27
1616494284.850	1.614	2298.11
1616494289.856	1.614	2297.08
1616494294.854	1.606	2295.71
1616494299.853	1.614	2294.55
1616494304.851	1.606	2293.34
1616494309.849	1.614	2292.32
1616494314.847	1.606	2291.54
1616494319.853	1.606	2290.64
1616494324.843	1.606	2289.85
1616494329.850	1.606	2288.48
1616494334.849	1.614	2287.09
1616494339.846	1.606	2286.16
1616494344.853	1.606	2284.86
1616494349.843	1.606	2283.56
1616494354.849	1.606	2282.65
1616494359.863	1.614	2281.88
1616494364.845	1.606	2281.00
1616494369.858	1.614	2279.80
1616494374.849	1.614	2278.82
1616494379.856	1.614	2277.53
1616494384.839	1.606	2276.55
1616494389.852	1.614	2275.48
1616494394.858	1.614	2274.72
1616494399.847	1.614	2273.70
1616494404.854	1.614	2272.56
1616494409.851	1.606	2271.37
1616494414.850	1.614	2270.52
1616494419.849	1.606	2269.68
1616494424.855	1.606	2268.54
1616494429.844	1.606	2266.98
1616494434.851	1.606	2266.28
1616494439.840	1.607	2265.37
1616494444.847	1.606	2264.69
1616494449.860	1.614	2263.35
1616494454.843	1.606	2261.78
1616494459.850	1.606	2260.57
1616494464.840	1.606	2259.89
1616494469.845	1.606	2259.03
1616494474.859	1.614	2258.15
1616494479.849	1.614	2257.04
1616494484.856	1.614	2255.62
1616494489.839	1.606	2254.23
1616494494.853	1.615	2253.29
1616494499.860	1.614	2252.49
1616494504.850	1.614	2251.41
1616494509.855	1.614	2250.05
1616494514.852	1.606	2249.11
1616494519.851	1.614	2248.14
1616494524.848	1.606	2246.87
1616494529.855	1.606	2245.33
1616494534.845	1.606	2244.05
1616494539.853	1.606	2243.25
1616494544.851	1.614	2242.46
1616494549.850	1.606	2240.85
1616494554.847	1.615	2239.33
