time (unix)	dt (s)	source (°C)
1616498802.496	0.090	10.5740
1616498813.505	0.092	10.5420
1616498824.490	0.085	10.5120
1616498835.522	0.109	10.4840
1616498846.520	0.105	10.4570
1616498857.521	0.115	10.4270
1616498868.530	0.114	10.3950
1616498879.498	0.092	10.3700
1616498901.510	0.098	10.3120
1616498912.490	0.085	10.2850
1616498923.498	0.084	10.2510
1616498934.491	0.086	10.2220
1616498945.520	0.115	10.1990
1616498956.500	0.085	10.1640
1616498967.521	0.106	10.1330
1616498978.512	0.106	10.1040
1616498989.536	0.122	10.0730
1616499000.529	0.123	10.0490
1616499011.513	0.099	10.0180
1616499022.520	0.115	9.9870
1616499033.529	0.114	9.9600
1616499044.490	0.084	9.9290
1616499055.532	0.117	9.8960
1616499066.511	0.099	9.8730
1616499077.521	0.115	9.8400
1616499088.520	0.108	9.8110
1616499099.500	0.094	9.7820
1616499121.500	0.095	9.7210
1616499132.513	0.108	9.6900
1616499143.529	0.117	9.6630
1616499154.515	0.108	9.6300
1616499165.506	0.094	9.6010
1616499176.528	0.114	9.5660
1616499187.528	0.122	9.5410
1616499198.531	0.114	9.5120
1616499209.514	0.108	9.4740
1616499220.514	0.101	9.4470
1616499231.528	0.112	9.4170
1616499242.512	0.106	9.3900
1616499253.509	0.091	9.3510
1616499264.514	0.098	9.3280
1616499275.498	0.093	9.3000
1616499286.524	0.112	9.2580
1616499297.509	0.093	9.2400
1616499308.512	0.100	9.1970
1616499319.508	0.102	9.1710
1616499341.512	0.106	9.1030
1616499352.514	0.096	9.0800
1616499363.505	0.100	9.0440
1616499374.507	0.092	9.0120
1616499385.500	0.094	8.9860
1616499396.506	0.100	8.9510
1616499407.516	0.103	8.9140
1616499418.532	0.114	8.8940
1616499429.512	0.097	8.8520
1616499440.506	0.100	8.8230
1616499451.517	0.103	8.7940
1616499462.507	0.090	8.7600
1616499473.500	0.094	8.7310
1616499484.513	0.107	8.7000
1616499495.531	0.115	8.6650
1616499506.509	0.102	8.6350
1616499517.507	0.101	8.6030
1616499528.504	0.098	8.5710
1616499539.505	0.093	8.5430
1616499561.496	0.090	8.4730
1616499572.511	0.099	8.4460
1616499583.505	0.099	8.4050
1616499594.505	0.093	8.3820
1616499605.499	0.093	8.3460
1616499616.520	0.115	8.3060
1616499627.506	0.092	8.2830
1616499638.492	0.086	8.2490
1616499649.506	0.100	8.2100
1616499660.516	0.102	8.1830
1616499671.520	0.108	8.1400
1616499682.490	0.085	8.1180
1616499693.524	0.110	8.0800
1616499704.504	0.088	8.0450
1616499715.527	0.114	8.0180
1616499726.497	0.091	7.9780
1616499737.499	0.083	7.9480
1616499748.515	0.110	7.9160
1616499759.521	0.114	7.8810
1616499781.505	0.092	7.8130
1616499792.514	0.109	7.7800
1616499803.494	0.081	7.7460
1616499814.508	0.095	7.7130
1616499825.513	0.100	7.6800
1616499836.491	0.085	7.6460
1616499847.499	0.087	7.6090
1616499858.521	0.108	7.5730
1616499869.514	0.107	7.5420
1616499880.514	0.101	7.5060
1616499891.511	0.096	7.4740
1616499902.492	0.080	7.4340
1616499913.517	0.098	7.4020
1616499924.508	0.102	7.3660
1616499935.498	0.092	7.3370
1616499946.508	0.095	7.2990
1616499957.513	0.100	7.2610
1616499968.499	0.093	7.2310
1616499979.515	0.102	7.1970
1616500001.503	0.089	7.1230
1616500012.504	0.098	7.0880
1616500023.514	0.100	7.0510
1616500034.501	0.095	7.0170
1616500045.497	0.091	6.9790
1616500056.563	0.146	6.9450
1616500067.490	0.084	6.9080
1616500078.501	0.086	6.8730
1616500089.515	0.099	6.8410
1616500100.493	0.087	6.8000
1616500111.498	0.092	6.7690
1616500122.553	0.140	6.7320
1616500133.530	0.114	6.6950
1616500144.498	0.091	6.6620
1616500155.533	0.117	6.6240
1616500166.505	0.093	6.5840
1616500177.500	0.094	6.5540
1616500188.521	0.116	6.5130
1616500199.547	0.134	6.4780
1616500221.494	0.079	6.4040
1616500232.547	0.132	6.3710
1616500243.552	0.139	6.3300
1616500254.523	0.118	6.2960
1616500265.519	0.113	6.2570
1616500276.496	0.082	6.2180
1616500287.562	0.155	6.1810
1616500298.499	0.087	6.1430
1616500309.561	0.147	6.1080
1616500320.493	0.087	6.0710
1616500331.546	0.141	6.0320
