time (unix)	dt (s)	room (°C)	stage (°C)
1616493800.881	2.621	26.9552	25.4862
1616493810.873	2.622	26.9465	25.4884
1616493820.880	2.622	26.9450	25.4898
1616493830.869	2.620	26.9448	25.4938
1616493840.882	2.622	26.9499	25.4906
1616493850.875	2.623	26.9499	25.4878
1616493860.874	2.623	26.9541	25.4881
1616493870.874	2.617	26.9455	25.4890
1616493880.881	2.621	26.9434	25.4886
1616493890.871	2.621	26.9561	25.4957
1616493900.874	2.617	26.9646	25.4948
1616493910.873	2.616	26.9671	25.4880
1616493920.874	2.616	26.9705	25.4923
1616493930.875	2.616	26.9787	25.4986
1616493940.883	2.625	26.9812	25.5045
1616493950.882	2.621	26.9812	25.4986
1616493960.874	2.622	26.9730	25.4939
1616493970.874	2.616	26.9656	25.4909
1616493980.881	2.622	26.9641	25.4879
1616493990.868	2.617	26.9696	25.4878
1616494000.869	2.617	26.9637	25.4863
1616494010.872	2.622	26.9625	25.4866
1616494020.881	2.621	26.9571	25.4847
1616494030.872	2.622	26.9656	25.4856
1616494040.884	2.625	26.9511	25.4870
1616494050.875	2.616	26.9459	25.4869
1616494060.883	2.621	26.9538	25.4894
1616494070.882	2.622	26.9525	25.4915
1616494080.870	2.620	26.9467	25.4969
1616494090.882	2.622	26.9323	25.4867
1616494100.872	2.622	26.9327	25.4875
1616494110.882	2.621	26.9450	25.4926
1616494120.881	2.621	26.9439	25.4925
1616494130.870	2.620	26.9440	25.4915
1616494140.875	2.616	26.9509	25.4940
1616494150.872	2.615	26.9656	25.4987
1616494160.868	2.617	26.9570	25.4998
1616494170.868	2.617	26.9439	25.4953
1616494180.870	2.621	26.9472	25.4915
1616494190.874	2.616	26.9512	25.4984
1616494200.880	2.620	26.9522	25.4955
1616494210.870	2.620	26.9492	25.4909
1616494220.882	2.621	26.9605	25.4898
1616494230.872	2.622	26.9717	25.4864
1616494240.883	2.622	26.9747	25.4876
1616494250.882	2.622	26.9549	25.4896
1616494260.872	2.622	26.9493	25.4878
1616494270.874	2.616	26.9513	25.4937
1616494280.874	2.616	26.9619	25.4914
1616494290.875	2.617	26.9564	25.4902
1616494300.874	2.617	26.9583	25.4901
1616494310.881	2.621	26.9596	25.4893
1616494320.870	2.620	26.9573	25.4873
1616494330.881	2.620	26.9578	25.4863
1616494340.873	2.622	26.9533	25.4848
1616494350.872	2.615	26.9387	25.4867
1616494360.870	2.620	26.9419	25.4880
1616494370.874	2.615	26.9427	25.4880
1616494380.881	2.622	26.9535	25.4899
1616494390.877	2.625	26.9575	25.4898
1616494400.868	2.617	26.9487	25.4933
1616494410.872	2.622	26.9422	25.4921
1616494420.885	2.625	26.9392	25.4913
1616494430.874	2.615	26.9439	25.4900
1616494440.874	2.615	26.9538	25.4894
1616494450.876	2.616	26.9546	25.4953
1616494460.874	2.616	26.9623	25.4890
1616494470.881	2.622	26.9666	25.4898
1616494480.868	2.617	26.9660	25.4895
1616494490.872	2.621	26.9567	25.4886
1616494500.876	2.619	26.9507	25.4862
1616494510.873	2.615	26.9487	25.4863
1616494520.873	2.622	26.9472	25.4923
1616494530.875	2.616	26.9340	25.4933
1616494540.885	2.626	26.9232	25.4966
1616494550.872	2.616	26.9385	25.4949
1616494560.870	2.620	26.9459	25.4897
1616494570.883	2.621	26.9392	25.4868
1616494580.870	2.621	26.9412	25.4864
1616494590.880	2.621	26.9587	25.4880
1616494600.870	2.621	26.9666	25.4879
1616494610.873	2.616	26.9678	25.4878
1616494620.881	2.622	26.9616	25.4872
1616494630.872	2.622	26.9596	25.4870
1616494640.881	2.621	26.9569	25.4878
1616494650.872	2.622	26.9690	25.4852
1616494660.874	2.617	26.9643	25.4875
1616494670.875	2.617	26.9606	25.4880
1616494680.873	2.616	26.9596	25.4878
1616494690.882	2.622	26.9641	25.4871
1616494700.871	2.621	26.9754	25.4844
1616494710.873	2.616	26.9646	25.4922
1616494720.880	2.622	26.9670	25.4952
1616494730.871	2.620	26.9661	25.4939
1616494740.875	2.616	26.9703	25.4926
1616494750.884	2.625	26.9672	25.4902
1616494760.874	2.616	26.9564	25.4888
1616494770.882	2.622	26.9484	25.4887
1616494780.889	2.627	26.9450	25.4872
1616494790.872	2.621	26.9366	25.4887
1616494800.883	2.625	26.9300	25.4914
1616494810.884	2.626	26.9321	25.4888
1616494820.876	2.620	26.9402	25.4904
1616494830.885	2.627	26.9470	25.4914
1616494840.881	2.623	26.9450	25.4946
1616494850.893	2.633	26.9382	25.4936
1616494860.885	2.626	26.9272	25.4923
1616494870.875	2.617	26.9241	25.4922
1616494880.876	2.617	26.9353	25.4915
1616494890.873	2.617	26.9389	25.4957
1616494900.885	2.625	26.9416	25.4957
1616494910.876	2.620	26.9585	25.4910
1616494920.883	2.624	26.9553	25.4901
1616494930.882	2.625	26.9443	25.4947
1616494940.881	2.624	26.9388	25.4942
1616494950.884	2.623	26.9327	25.4896
1616494960.881	2.625	26.9282	25.4867
1616494970.886	2.626	26.9292	25.4835
1616494980.873	2.622	26.9208	25.4828
1616494990.883	2.625	26.9226	25.4827
1616495000.883	2.625	26.9269	25.4837
1616495010.886	2.628	26.9323	25.4879
1616495020.872	2.622	26.9445	25.4940
1616495030.883	2.623	26.9416	25.4952
1616495040.881	2.625	26.9369	25.4915
1616495050.885	2.626	26.9392	25.4888
1616495060.886	2.628	26.9463	25.4972
1616495070.875	2.623	26.9561	25.4947
1616495080.872	2.622	26.9620	25.4917
1616495090.885	2.628	26.9692	25.4908
1616495100.875	2.623	26.9672	25.4895
1616495110.883	2.625	26.9626	25.4950
1616495120.882	2.625	26.9579	25.4932
1616495130.884	2.626	26.9524	25.4895
1616495140.886	2.628	26.9348	25.4875
1616495150.875	2.623	26.9357	25.4885
1616495160.884	2.627	26.9385	25.4885
1616495170.881	2.622	26.9301	25.4880
1616495180.874	2.621	26.9348	25.4852
1616495190.884	2.627	26.9182	25.4847
1616495200.884	2.625	26.9208	25.4900
1616495210.886	2.627	26.9281	25.4889
1616495220.871	2.621	26.9209	25.4840
1616495230.887	2.628	26.9202	25.4850
1616495240.874	2.622	26.9286	25.4826
1616495250.871	2.615	26.9265	25.4848
1616495260.874	2.622	26.9336	25.4873
1616495270.886	2.627	26.9461	25.4871
1616495280.881	2.631	26.9566	25.4826
1616495290.878	2.627	26.9653	25.4883
1616495300.883	2.622	26.9575	25.4897
1616495310.885	2.624	26.9413	25.4878
1616495320.884	2.626	26.9354	25.4886
1616495330.882	2.623	26.9445	25.4952
1616495340.884	2.622	26.9496	25.4995
1616495350.885	2.627	26.9560	25.4969
1616495360.871	2.621	26.9563	25.4938
1616495370.885	2.623	26.9609	25.4931
1616495380.885	2.623	26.9600	25.4902
1616495390.885	2.622	26.9576	25.4898
1616495400.884	2.625	26.9528	25.4888
1616495410.883	2.622	26.9546	25.4897
1616495420.885	2.627	26.9467	25.4890
1616495430.883	2.626	26.9422	25.4870
1616495440.885	2.627	26.9482	25.4894
1616495450.875	2.623	26.9458	25.4889
1616495460.868	2.618	26.9431	25.4876
1616495470.874	2.622	26.9375	25.4892
1616495480.886	2.627	26.9576	25.4918
1616495490.873	2.621	26.9823	25.4925
1616495500.886	2.626	26.9840	25.4926
1616495510.883	2.625	26.9761	25.4913
1616495520.884	2.626	26.9826	25.4916
1616495530.886	2.627	26.9827	25.4929
1616495540.879	2.627	26.9729	25.4915
1616495550.886	2.628	26.9592	25.4898
1616495560.873	2.621	26.9477	25.4881
1616495570.885	2.626	26.9362	25.4887
1616495580.883	2.626	26.9282	25.4889
1616495590.881	2.621	26.9252	25.4896
1616495600.872	2.620	26.9272	25.4915
1616495610.872	2.615	26.9291	25.4915
1616495620.875	2.623	26.9424	25.4919
1616495630.873	2.621	26.9496	25.4912
1616495640.885	2.622	26.9499	25.4898
1616495650.885	2.627	26.9532	25.4980
1616495660.886	2.627	26.9449	25.5015
1616495670.874	2.623	26.9418	25.4962
1616495680.885	2.628	26.9311	25.4948
1616495690.873	2.622	26.9224	25.4982
1616495700.885	2.626	26.9231	25.4979
1616495710.884	2.627	26.9164	25.4930
1616495720.886	2.627	26.9114	25.4938
1616495730.874	2.623	26.9096	25.4931
1616495740.882	2.622	26.9264	25.4918
1616495750.886	2.627	26.9281	25.4901
1616495760.873	2.622	26.9149	25.4923
1616495770.887	2.628	26.8986	25.4889
1616495780.872	2.621	26.9007	25.4908
1616495790.878	2.622	26.9199	25.4887
1616495800.875	2.622	26.9112	25.4912
1616495810.885	2.627	26.9066	25.4894
1616495820.885	2.626	26.9051	25.4886
1616495830.887	2.627	26.9001	25.4901
1616495840.873	2.621	26.9019	25.4959
1616495850.884	2.627	26.9104	25.4992
1616495860.884	2.625	26.9123	25.4964
1616495870.877	2.620	26.9100	25.4926
1616495880.874	2.622	26.8929	25.4967
1616495890.886	2.628	26.8978	25.5010
1616495900.875	2.623	26.8965	25.4981
1616495910.871	2.621	26.8919	25.4943
1616495920.884	2.627	26.9024	25.4928
1616495930.876	2.619	26.9180	25.4925
1616495940.884	2.626	26.9110	25.4928
1616495950.876	2.618	26.9120	25.4970
1616495960.885	2.626	26.9161	25.4972
1616495970.886	2.627	26.9086	25.4934
1616495980.873	2.622	26.9016	25.4924
1616495990.883	2.625	26.9011	25.4899
1616496000.883	2.626	26.9051	25.4929
1616496010.878	2.620	26.8869	25.4905
1616496020.874	2.623	26.8784	25.4903
1616496030.885	2.627	26.8740	25.4911
1616496040.885	2.627	26.8628	25.4896
1616496050.884	2.626	26.8661	25.4901
1616496060.876	2.619	26.8659	25.4956
1616496070.886	2.626	26.8717	25.4982
1616496080.885	2.627	26.8806	25.4945
1616496090.869	2.619	26.8897	25.4933
1616496100.874	2.622	26.8925	25.4929
1616496110.885	2.626	26.9054	25.4950
1616496120.886	2.627	26.9057	25.4976
1616496130.874	2.621	26.9065	25.4940
1616496140.885	2.627	26.9124	25.4948
1616496150.885	2.626	26.9025	25.4958
1616496160.884	2.626	26.8889	25.4893
1616496170.884	2.626	26.8934	25.4889
1616496180.886	2.625	26.8879	25.4905
1616496190.885	2.625	26.8857	25.4907
1616496200.888	2.626	26.8821	25.4885
1616496210.873	2.622	26.8802	25.4876
1616496220.887	2.626	26.8877	25.4873
1616496230.873	2.621	26.8932	25.4880
1616496240.886	2.626	26.8945	25.4870
1616496250.893	2.633	26.8897	25.4885
1616496260.882	2.625	26.8900	25.4884
1616496270.888	2.626	26.9047	25.4869
1616496280.871	2.621	26.9221	25.4879
1616496290.883	2.623	26.9285	25.4891
1616496300.886	2.628	26.9248	25.4897
1616496310.873	2.622	26.9103	25.4896
1616496320.884	2.626	26.9258	25.4898
1616496330.883	2.626	26.9338	25.4907
1616496340.884	2.623	26.9232	25.4912
1616496350.886	2.628	26.9211	25.4967
1616496360.869	2.619	26.9214	25.4995
1616496370.882	2.622	26.9248	25.4973
1616496380.884	2.623	26.9295	25.4925
1616496390.886	2.628	26.9178	25.4901
1616496400.872	2.620	26.9086	25.4906
1616496410.887	2.625	26.9172	25.4896
1616496420.884	2.625	26.9184	25.4927
1616496430.885	2.623	26.9145	25.4911
1616496440.884	2.625	26.9101	25.4913
1616496450.886	2.625	26.9008	25.4937
1616496460.884	2.627	26.8927	25.4925
1616496470.885	2.627	26.8850	25.4910
1616496480.885	2.627	26.8826	25.4918
1616496490.886	2.626	26.8819	25.4893
1616496500.883	2.627	26.8859	25.4919
1616496510.883	2.624	26.8934	25.4920
1616496520.885	2.627	26.9035	25.4879
1616496530.873	2.622	26.9157	25.4877
1616496540.886	2.628	26.9191	25.4846
1616496550.880	2.628	26.9126	25.4870
1616496560.882	2.624	26.8991	25.4897
1616496570.883	2.623	26.8955	25.4897
1616496580.886	2.626	26.9001	25.4903
1616496590.872	2.621	26.8875	25.4922
1616496600.884	2.624	26.8790	25.4906
1616496610.883	2.622	26.8690	25.4932
1616496620.885	2.625	26.8652	25.5012
1616496630.884	2.623	26.8697	25.5039
1616496640.886	2.628	26.8781	25.4974
1616496650.873	2.622	26.8733	25.4951
1616496660.883	2.623	26.8709	25.4926
1616496670.885	2.626	26.8836	25.4944
1616496680.885	2.627	26.8826	25.4952
1616496690.884	2.627	26.8812	25.4905
1616496700.878	2.621	26.8692	25.4897
1616496710.873	2.622	26.8656	25.4879
1616496720.885	2.628	26.8609	25.4887
1616496730.874	2.622	26.8613	25.4889
1616496740.883	2.627	26.8633	25.4896
1616496750.885	2.627	26.8716	25.4894
1616496760.885	2.627	26.8787	25.4896
1616496770.883	2.632	26.8809	25.4891
1616496780.871	2.619	26.8914	25.4878
1616496790.883	2.621	26.8824	25.4929
1616496800.875	2.623	26.8713	25.4981
1616496810.871	2.620	26.8630	25.4950
1616496820.885	2.627	26.8551	25.4929
1616496830.876	2.619	26.8405	25.4912
1616496840.885	2.627	26.8380	25.4898
1616496850.874	2.623	26.8491	25.4898
1616496860.872	2.621	26.8546	25.4875
1616496870.887	2.626	26.8607	25.4884
1616496880.874	2.622	26.8650	25.4870
1616496890.884	2.627	26.8659	25.4854
1616496900.885	2.626	26.8750	25.4864
1616496910.886	2.627	26.8761	25.4855
1616496920.873	2.622	26.8761	25.4840
1616496930.882	2.625	26.8726	25.4881
1616496940.887	2.627	26.8725	25.4876
1616496950.878	2.626	26.8773	25.4851
1616496960.879	2.627	26.8751	25.4852
1616496970.893	2.632	26.8782	25.4900
1616496980.888	2.626	26.8729	25.4956
1616496990.882	2.631	26.8630	25.4951
1616497000.879	2.627	26.8570	25.4918
1616497010.885	2.626	26.8560	25.4893
1616497020.885	2.627	26.8506	25.4901
1616497030.875	2.618	26.8348	25.4900
1616497040.877	2.620	26.8425	25.4908
1616497050.872	2.622	26.8543	25.4902
